Name,Y,X,Z,Description,Date Taken
3595,5010.742393,4985.488307,100.448915,CHECK 110712,11/07/2012
3596,5013.612937,4999.895593,99.365862,EL_D4_27_N,11/07/2012
3597,5013.077857,5000.54913,99.360979,EL_D4_27_E,11/07/2012
3598,5012.281147,4999.926584,99.394776,EL_D4_27_S,11/07/2012
3599,5012.988877,4999.223984,99.391493,EL_D4_27_W,11/07/2012
3600,5012.893539,4999.89929,99.376223,EL_D4_27_C,11/07/2012
3601,5011.616896,5001.216029,99.358151,PF_D2_27_L1057,11/07/2012
3602,5010.404703,5000.80321,99.262277,EL_C1_27_C,11/07/2012
CP1,5016,5006,100.37,control point,11/07/2012
TBM03,5020,5003,100.795,TBM03,11/07/2012
